start: 35, 53
0000000000000000000000000000000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000000303000000000000000000000000000 # 19
0000000003330230000000000000000000000000 # 19
0000000033033123000000000000000000000000 # 19
0000000003300123000000000000000000000000 # 19
0000000000230000000000000000000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000000000000000000000000000100000230 # 19
0000000000000000000000000000000233333300 # 19
0000000000000000000000000000000303003010 # 19
0000000000000000000000000000000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000000000000000000000000000000000000 # 19
5050505050505050505050505050000000000000 # 19
5555555555555555555555555555000000000000 # 19
5050505050505050505050505050000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000000000000000000000321000000000000 # 19
0000000000000000000000000030000000000000 # 19
0000000000000000000000000333000000000000 # 19
0000000000000000000000003033200000000000 # 19
0000000000000000000000000210000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000000000000000000000321000000000000 # 19
0000000000000000000000000030000000000000 # 19
0000000000000000000000000333000000000000 # 19
0000000000000000000000003033200000000000 # 19
0000000000000000000000000210000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000000050505050505050505050505050505 # 19
0000000000555555555555555555555555555555 # 19
0000000000050505050505050505050505050505 # 19
0000000000000000000000000000000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000303000000000000000000000000000000 # 19
0000003330230000000000000000000030000000 # 19
0000033033123000000000000000000333000000 # 19
0000003300123000000000000000000030000000 # 19
0000000230000000000000000000000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000000000000000000000000000000000000 # 19
0000000000000000000000000000000000000000 # 19
